"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"64","'Small business optimism soars after Trump election' https://t.co/WjBaTp824U",FALSE,49797,NA,2017-01-10 20:50:31,FALSE,NA,"818922995980845056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12001,FALSE,FALSE,NA,NA
"65","'U.S. Small-Business Optimism Index Surges by Most Since 1980'
https://t.co/X22x1BttdG",FALSE,42094,NA,2017-01-10 15:26:22,FALSE,NA,"818841421364989952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11356,FALSE,FALSE,NA,NA
"66","Thank you to all of the men and women who protect &amp; serve our communities 24/7/365! 
#LawEnforcementAppreciationDay… https://t.co/aqUbDipSgv",FALSE,93365,NA,2017-01-10 02:20:01,TRUE,NA,"818643528905621504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23235,FALSE,FALSE,NA,NA
"67","An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf",FALSE,123961,NA,2017-01-09 22:32:33,FALSE,NA,"818586286034485250",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",25115,FALSE,FALSE,NA,NA
"68","Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C!",FALSE,111126,NA,2017-01-09 14:16:34,FALSE,NA,"818461467766824961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23937,FALSE,FALSE,NA,NA
"69","It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants, adding 2000 jobs. This after...",FALSE,102300,NA,2017-01-09 14:14:10,FALSE,NA,"818460862675558400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23856,FALSE,FALSE,NA,NA
"70","""groveling"" when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!",FALSE,70282,NA,2017-01-09 11:43:26,FALSE,NA,"818422930157830144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16490,FALSE,FALSE,NA,NA
"71","Hillary flunky who lost big. For the 100th time, I never ""mocked"" a disabled reporter (would never do that) but simply showed him.......",FALSE,85622,NA,2017-01-09 11:36:02,FALSE,NA,"818421066859167746",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",21925,FALSE,FALSE,NA,NA
"72","Meryl Streep, one of the most over-rated actresses in Hollywood, doesn't know me but attacked last night at the Golden Globes. She is a.....",FALSE,125588,NA,2017-01-09 11:27:50,FALSE,NA,"818419002548568064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",38622,FALSE,FALSE,NA,NA
"73","Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!",FALSE,37886,NA,2017-01-09 11:17:40,FALSE,NA,"818416446527172608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",7383,FALSE,FALSE,NA,NA
